,index,Tweet,HS
578,79,kapan akan tawar erick thohir bagai calon wakil presiden untuk damping ganjar atau prabowo dari pintu ke pintu ku coba tawar nama,NON_HATE
579,80,makin banyak yang dukung untuk menang ganjar pranowo jadi ri 1 menang total,NON_HATE
580,81,sepe i biasa hanya mampu bikin meme kalau pojok serang ganjar atau jokowi mantan gubernur bual selalu anggap hebat mata kadrun yang rabun tolak anis,NON_HATE
581,82,gempar postingan dukung ganjar ini rujak warganet gara gara sebut malu datang ke hajat formula e tanpa undang padahal ribu tonton datang pada beli tiket bukan karena undang,NON_HATE
582,83,yang tolak siapa enggak ada yang tolak kalian hanya baca media pro ganjar,HATE
583,84,anjing kamu iya om gue bilang mirip ganjar,NON_HATE
584,85,moga bapak ganjar pranowo jadi presiden india 2024,NON_HATE
585,86,rakyat ingin ubah den ganjar haha,HATE
586,87,kalem saja sih john panik amat orang prabowo juga belum deklarasi resmi jadi calon presiden pak ai usung koalisi nya juga belum final beda hal ganjar sama anies kamu lebih baik fokus berita ganjar yang bagus bagus sudah,NON_HATE
587,88,sebage ganti nanti tahun 2024 sian baskewan undang lantik pak ganjar jadi presiden ya gaeessss,HATE
588,89,parah dukung ganjar ini dukung dan yang dukung sama sama tukang tipu jaman jokohok itu harmoni bundar hi sampai depan istana banjir bandang jaman anis salur tata sistem tata hasil itu kawasan tidak pernah banjir,HATE
589,90,solid gerak kampanye untuk ganjar pranowo,HATE
590,91,jadi begini cokrotv itu banyak hanya buat analisa2 halu pak ai juga bisa buat kontra analisa dengan kata ganjar out dengan alas buzzerp yang sepe i denny siregar ini yang buat publik jadi ikut muak kepada ganjar kan simple benar iya tidak sih,NON_HATE
591,92,ingat saja pak ganjar dan pak prabowo itu masih jabat publik aktif dan sekarang calon presiden dari partai politik usung masing masing sementara pak anies sudah jadi rakyat biasa demokrasi kita harus lurus ini apakah orientasi pada lanjut kuasa atau layan publik,NON_HATE
592,93,ini kenapa kita harus pilih ganjar pranowo elegan dan tanpa bawa bawa isu sara jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
593,94,kalau konteks buat tahlil tidak semua orang islam tahlil kali,NON_HATE
594,95,dar awal memang dukung pak jokowi adalah dukung ganjar masa mau dukung aniiiiis,HATE
595,96,bera i lama ini pak jokowi belum benar kelola meritim kita padahal dulu kata ada tol laut nyata jujur juga anda mas ganjar bahwa jokowi belum benar benar kelola meritim kita,HATE
596,97,amin jokowi di hati ganjar di nanti ganjar pasti menang,HATE
597,98,dengan satu kita akan menang ganjar pranowo di pilih presiden 2024 datang jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
598,99,survei indikator politik prabowo unggul di tani dan buruh ganjar di pegawai negeri sipil,HATE
599,100,toleran buta ya tidak ingat sama wadas ingat ganjar ingat wadas,HATE
600,101,bukti bacot doang beda jauh banding anies yang cerdas konsep cerdas laksana kalau ganjar ngawur konsep ngawur laksana buzzernya ganas,HATE
601,102,jadi ingat wanita emas hasnaeni wanita emas sebut komisi pemelihan umum atur ganjar erick menang pilih presiden 2024,NON_HATE
602,103,saya sih lebih suka pimpin orang yang sehat jasmani dan rohani apalagi sikap orang yang keren pegang kendali atas emosi tidak ledak ledak kayak petas banting terang foto ganjar pranowo dan istri siti atikoh tidak sedang lari dari masalah,NON_HATE
603,104,kalau suruh pilih ganjar atau prabowo aku pilih prabowo kalau suruh pilih prabowo atau anies aku pilih anies ganjar tugas pak ai prabowo boneka jokowi anies tugas rakyat,HATE
604,105,deklarasi ganjar oleh anak anak sekolah dasar ya tidak apa2lah kalau deklarasi anies nah baru bisa anggap langgar iya tidak,HATE
605,106,banyak omong itu maaf saya tidak pilih ganjar pranowo dalam pilih presiden karena saya lihat beliau banyak citra,HATE
606,107,ganjar visioner coy,HATE
607,108,sedang jarang yang pilih pak karena beberapa kali pilih lihat di televisi saat dialog bambang pacul yang lalu kena tiap putus harus lapor bos juga beberapa kasus pak ganjar yang belum selesai,NON_HATE
608,109,ganjar memang buta mata dan hati berat aku tangan banjir jaka a oleh anies jauh lebih baik dari jokowi dan ahok apalagi banding dengan jawa tengah ganjar tidak ada apa apa 10 tahun ganjar cuma mbacot untuk tangan banjir jawa tengah,HATE
609,110,lihat 2 calon presiden proxy kadang dukung prabowo kadang dukung ganjar cawe cawe tidak jelas,HATE
610,111,bera i maksud jokowi tidak benar begitu wkwk jawa tengah saja tidak beres pak ganjar kok mau nyentil pak jokowi,HATE
611,112,fix tidak punya prestasi visi dan misi jual cuma radikal radikul yang tidak dukung ganjar otomatis cap bagai radikal kalau ganjar jadi presiden oposisi langsung di cap bagai radikal jijik,HATE
612,113,pesan ganjar pranowo untuk rumah aspirasi,HATE
613,114,ramah sekali pak ganjar ini,NON_HATE
614,115,ganjar pranowo tunjuk bagaimana rukun umat agama di indonesia,NON_HATE
615,116,pak ganjar memang top,HATE
616,117,harus gelora news tidak bias dengan hanya serang perintah ganjar dan prabowo tapi jilat pantat sih bule yaman,HATE
617,118,rawan antusias sambut resmi rumah aspirasi ganjar pranowo,HATE
618,119,ganjar pranowo terus pak jokowi,HATE
619,120,harus sepe i pak ganjar dong ini foto tampak banjir rob di demak tapi alhamdulillah buzzerp nya pada senang semua dan puji bahwa banjir ini rupa karunia tuhan atas air yang limpah,NON_HATE
620,121,erickthohirnews ganjar erick thohir sandiaga uno hadir festival lampion waisak di borobudur bangkitbersamaet,HATE
621,122,ganjar bicara tahan pangan publik tanya 10 tahun bapak jadi gubernur kok jawa tengah provinsi miskin,NON_HATE
622,123,ada yang mejeng di basis ganjar pranowo pantas saja cuma sedikit ug ajak foto lebih cuek warga haha,HATE
623,124,kicep memang belum gilir bicara ganjar yang di omong omong kosong belaka basa basi enggak jelas apa apa apa apa eh ehe saja calon presiden kok begitu,HATE
624,125,ada yang coba coba mejeng di basis ganjar pranowo ya cuek lah haha tidak tau diri banget sih,HATE
625,126,pak ganjar jadi presiden 2024 semua anak anak muda akan makin banyak beri ruang untuk ekspres jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
626,127,dukung alir deras buat ganjar dari bagai kelompok dan komunikasi,NON_HATE
627,128,kalau ganjar dukung pak ai korupsi bansos e kartu tanda duduk korupsi kuota haji dan jual beli jabat di menteri agama ya,HATE
628,129,sih goblok ini jangan tunjuk bodoh kita di depan orang banyak pakai otak kalau mentwit haha memang yang kamu dukung pak ainya bersih siapa ganjar paling banyak pak ainya korupsi siapa lagi prabowo lah sama saja kemarin kena juga kader,HATE
629,130,ganjar pasti menang dan ganjar presiden 2024 amin jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
630,131,sudah saya pasti keluarga besar kami mulai dari kakeh nenek sampai anak cucu dan sepupu 3 generasi trah simbah kami tidak akan pilih anoes kami pilih ganjar pranowo bagai presiden ri 2024,NON_HATE
631,132,ikut duka atas tinggal ibu anda tetapi ganjar lantik bulan agustus 2013 di bulan apa anda urus badan selenggara jamin sosial ibu anda kalau pun saat anda urus badan selenggara jamin sosial itu ganjar sudah jadi gubernur tentu masih banyak soal birokrasi dari gubernur belum yang belum bisa sederhana,NON_HATE
632,133,semangat pagi salam minum kopi ganjar selalu di hati tidak akan pindah lain hati,NON_HATE
633,134,tidak ganjar tidak makan,NON_HATE
634,135,siapa yang ajak kamu kamu kan sama suka den ganjar tiktokers ya sudah minggir tetapi kalau mau waras ayo pilih pak anies,HATE
635,136,kerja 2priode baru sekarang di kejar nya mungkin eng di calon eng bakal di kerjain ganjar kamu masih jadi gubernur fokus dulu bgusin jawa tengah kalau eng kamu mundur saja biar eng ribet,HATE
636,137,ya kamu juga rakyat kamu rakyat bagi mana kalau mau waras ya gabung ke pak anies kalau mau di halu saja ya ke den ganjar begitu saja kok repot,HATE
637,138,menang 1 putar pak ganjar pranowo,HATE
638,139,perhati burung garuda versi anies dan ganjar nyata beda,NON_HATE
639,140,bagaimana usaha ganjar buat suara di dunia internasional,NON_HATE
640,141,cok ganjar urus banjir semarang saja deh jawa tengah masih banjir cok,NON_HATE
641,142,halo jangan lupa jangan pilih ganjar,NON_HATE
642,143,simak survei baru calon presiden 2024 prabowo lawan ganjar lawan anies,HATE
643,144,sakit masyarakat jawa tengah ucap ganjar tahan pangan harus beterima kasih kepada pak anies waktu jabat gubjkt karena masyarakat jawa tengah yang miskin ngluruk cari makan di jaka a,NON_HATE
644,145,rawan jokowi deklarasi dukung kepada ganjar dewa 19 jejak sigundul andara ukraina tidur deh gea jihyo senin boiyen nasi goreng aku milik jjk1 is coming alan walker mil psht bakri mark lee,HATE
645,146,kenapa apa karena agama larang orang yang sering tonton video porno ganjar pranowo kan strategi menang pilih presiden 2024 tidak akan bawa isu agama,HATE
646,147,ya tapi dalam kembang karena yang di atas arogan sekarang grassrote punya diri sendiri kemarin umpama pilih puan bagai calon presiden mereka langsung pilih ganjar sendiri,HATE
647,148,kira kira kalau kita budidaya ganjar di pulau pribadi polisi tau tidak iya,HATE
648,149,tidak ingin hanya duduk manis ini potret sosok tarung sejati sepe i pak ganjar jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
649,150,cocok 100 analisa grafolog buat pak ganjar jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
650,151,ganjar di tempat bokep,NON_HATE
651,152,ganjar memang suka tonton bokep dia sendiri yang terang terang bilang di podcast deddy corbuziet jangan pilih ganjar yang suka bokep masa presiden indonesia hobi tonton bokrp malu,NON_HATE
652,153,hahahhaa jawa tengah provinsi yang tidak maju2 di era ganjar pranowo gagal total,HATE
653,154,gara sering ngikuti biasa ganjar sering tonton bokep tetangga gue sodomi dubur kambing,NON_HATE
654,155,ganjar pranowo sosok pimpin yang paling ideal ayo sama dukung ganjar untuk pimpin negeri ini,HATE
655,156,makin suka sama pak ganjar berangkat dari orang kurang mampu tau bagaimana hidup jadi orang susah,NON_HATE
656,157,upaya nyata ganjar bikin makin melarat rakyat hawa tengah,HATE
657,158,lihat bagaimana pak ganjar,NON_HATE
658,159,luar biasa rawan jokowi untuk ganjar,HATE
659,160,mantap pak moga the next presiden pak ganjar,NON_HATE
660,161,deklarasi ganjar untuk indonesia,NON_HATE
661,162,mantap rawan jokowi dukung ganjar untuk 2024,HATE
662,163,lihat banyak yang dukung pak ganjar,NON_HATE
663,164,dukung ke pak ganjar,HATE
664,165,presiden prabowo wakil ganjar untuk datang yaman boleh jadi menteri saja dulu,HATE
665,166,nah ini teman nya ganjar,NON_HATE
666,167,biasa di negeri ini kalau tidak viral tidak di gubris sesuai cara kerja ganjar yang kata kalau lihat jalan rusak di jawa tengah sila foto dan kirim ke twitter saya akan langsung di eksekusi sehingga jawa tengah jalan lubang hampir nol kata,NON_HATE
667,168,beware bisa ganjal lama masih ada ganjar,NON_HATE
668,169,strategi goblok yang bakal akhir fatal pe sama bantu jokowi agar bisa 2 kandidat saja otomatis suara ambil bagi dari jokower dong nah anies kan tidak ikut pasti all in ke prabowo tidak ada cerita bakal pilih tugas pak ai terus ganjar dapat apa,NON_HATE
669,170,mantap pak ganjar,HATE
670,171,lengkap derita samsak hidup antitesis p jokowi ganjar pranowo ganpro 2024,HATE
671,172,jual itu makmur rakyat pak ganjar jual kok intoleran radikal teroris memang rakyat bisa kenyamg,HATE
672,173,hibur melulu sudah ganjar jadi a is saja tidak usah jadi presiden biar presiden jadi tanggung jawab anies agar indonesia maju dan modern,NON_HATE
673,174,deklarasi menang ganjar,NON_HATE
674,175,pak ganjar rupa real life itachi rela dibully sekonoha agar israel tidak menang di tanah cinta,NON_HATE
675,176,ganjar di pulau sulawesi 10 suara,NON_HATE
676,177,kalau begini positif besar pasti menang nih pak ganjar,NON_HATE
677,178,dukung ganjar yang suka tonton bokep,HATE
678,179,rawan jokowi kumpul di senayan sat sikap dukung ganjar,HATE
679,180,gubernur jawa tengah ganjar pranowo kata raya tri suci waisak 2567 be 2023 jadi momentum penting untuk rekat hubung antarumat agama,NON_HATE
680,181,rawan jokowi dukung pak ganjar jadi presiden,HATE
681,182,gubernur jawa tengah ganjar pranowo kata raya tri suci waisak 2567 be 2023 jadi momentum penting untuk rekat hubung antarumat agama rangkai giat hari raya umat buddha di candi borobudur magelang jawa tengah itu jadi magnet sendiri yang undang masyarakat lintas agama suku dan golong untuk turut hadir,NON_HATE
682,183,mantap pak ganjar makin banyak yang usung,NON_HATE
683,184,pilih ganjar saja,HATE
684,185,dukung ini akan jadi semangat dan yakin bagi ganjar pranowo untuk hadap pilih presiden 2024 jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
685,186,waduh jangan main sara lihat saja rekan jejak kerja ganjar itu suka datang ke kiyai arab kamu,NON_HATE
686,187,jangan pilih ganjar yang suka bokep sama sekali tidak mutu,NON_HATE
687,188,mari sama sama kita dukung ganjar pranowo jadi presiden ri 2024 beliau adalah sosok yang tepat untuk pimpin bangsa indonesia,NON_HATE
688,189,mudah bandung dukung ganjar,NON_HATE
689,190,deklarasi nasionala ganjar,HATE
690,191,sosok ganjar,HATE
691,192,maju terus pak ganjar,NON_HATE
692,193,rekam jejak ganjar bagi sembako semarang demak banjir wadas tugas pak ai rekam jejak anies jis rumah susun aquarium formula e dan lain lain bukan tugas pak ai,NON_HATE
693,194,ganjar wakaf,HATE
694,195,makanya gue heran sama mereka ini mereka tiap hari cuma bahas saja bahkan tidak pernah di up prestasi ganjar,NON_HATE
695,196,baru hasil survei calon presiden 2024 anies terjun bebas prabowo dan ganjar roket cek simulasi h2h,HATE
696,197,ganjar tidak mutu bokep,HATE
697,198,denny indrayana jokowi ingin tarung ganjar pranowo dan tribun manado,HATE
698,199,ganjar juga bukti terima suap dana e kartu tanda duduk tunggu saja tanggal main akan ungkap semua,NON_HATE
699,200,bagai kader pak ai dan tugas pak ai dan semua orang calon presiden juga status harus sing kader dan tugas pak ai kenapa hanya ganjar yang di serang dengan diksi tugas pak ai toh sistem perintah kita harus begitu kalau mau bebas ya jangan lewat pak ai,NON_HATE
700,201,kemarin sudah nongkrong bareng gen z sekarang juga olahraga makin yakin nih sama pak ganjar,HATE
701,202,simak survei baru calon presiden 2024 prabowo subianto lawan ganjar lawan anies cnbc indonesia,HATE
702,203,prabowo subianto subianto tanya jadi calon wakil presiden untuk ganjar pranowo begini jawab suara cirebon,HATE
703,204,tak ada yang tidak mungkin kalau kita satu ganjar pranowo ri 1 2024 jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri nasi goreng 2023,NON_HATE
704,205,pak ganjar piara burung gereja ya,NON_HATE
705,206,terus semangat kobar dukung kawan kawan kaum buruh kita kawal terus ganjar pranowo tuju ri 1 2024 jejak sih gundul dewa 19 tidur aku milik malam minggu alan walker besok senin yoyakarta solaria bakri 2023,NON_HATE
706,207,tetap dong pilih anies agar indonesia lebih maju modern dan adab daripada pilih ganjar suka bokep tanpa prestasi yang dukung pak ai dengan kasus korupsi banyak se indonesia,HATE
707,208,jangan munafik pak ganjar dosa hidup apa ada saja tidak mungkin gubernur makan sepe i itu sadar kampaye yang bagus jangan citra,HATE
708,209,jose mourinho kalau lihat lihat mirip ganjar pranowo,HATE
709,210,moga pilih jadi presiden pak ganjar,HATE
710,211,begitu juga jika prabowo gagal calon presiden sesuatu jadi pada maka prediksi saya suara prabowo dan ganjar semua ke anies titik,HATE
711,212,erickthohirnews kapan rapat ke partai demokrasi indonesia juang jika calon wakil presiden ganjar erick thohir politik rakyat merdeka on line bangkitbersamaet,HATE
712,213,calon wakil presiden anies baswedan sudah tentu demokrat percaya sosok bisa kejut prabowo dan ganjar,HATE
713,214,ganesa dpln hong kong dukung bulat ganjar pranowo rawan ganesa dpln hong kong deklarasi dukung kepada bacapres partai demokrasi indonesia juang ganjar pranowo bagai presiden ri tahun 2024,HATE
714,215,hasto sebut ada pak ai lain yang akan dukung ganjar,NON_HATE
715,216,srikandi ganjar ajar perempuan milenial jepara buat buket dari makan ringan,HATE
716,217,sukarelawan ganjar dukung laku usaha mikro kecil dan tengah adakan makan bakso gratis bareng warga tangsel,NON_HATE
717,218,paling tidak ide bapak mereka anggap sukses mau nya sih ganjar bagai ketua laksana nya tapi takut tahu ngiklan nya nanti sudah harus lah jadi presiden indonesia tetap semangat ya pak,NON_HATE
718,219,oh nyata benar ya ganjar gemar film p rno,HATE
719,220,lempar pantun hasto sindir pihak lain klaim dekat jokowi sekretaris jenderal partai demokrasi indonesia juang partai demokrasi indonesia juang hasto kristiyanto ungkap ganjar pranowo rupa satu satu dari soekarno megawati,HATE
720,221,ganjar pranowo daerah khusus ibukota jaka a memang beda tidak muluk muluk dan ramah telah dapat dukung dari ribu masa rawan jokowi kemarin kini bakal calon presiden bacapres partai demokrasi indonesia juang ganjar,HATE
721,222,ganjar pranowo sosok calon presiden yang tahu diri bisa tempat diri tidak ngawur amp tidak gegabah ketika beliau aktivitas di luar kota bukan saat hari kerja namun saat hari libur kait dengan masalah kerja beliau selalu pantau dari aplikasi handphone apalagi kini era digital,NON_HATE
722,223,tiap posting berita ganjar cuma bisa lari2 doang bukan sampai program program ke depan calon presiden kok minim gagas,HATE
723,224,keren pak ganjar,HATE
724,225,2024 ganjar presiden dengan anies,HATE
725,226,kami rawan ganjar siap dukung sampai jadi presiden,NON_HATE
726,227,pak ganjar calon pimpin wibawa sih,NON_HATE
727,228,satu dukung pak ganjar,HATE
728,229,sehat sehat pak ganjar,NON_HATE
729,230,darri manuver pe emuan gibran kita sudah tau di depan megawati jokowi lihat dukung ganjar padahal kaki jokowi lang sama psd lalu anak,HATE
730,231,dukung untuk pak ganjar the next presiden,NON_HATE
731,232,ganjar menang di basis nasional demokrat,HATE
732,233,tetap humble selalu pak ganjar,NON_HATE
733,234,hi kak ganjar terima kasih untuk sabar kamu lama tangan kendala pada sistem dan mohon maaf atas ketidaknyamanan yang alami saat ini aplikasi dana telah jalan normal yuk lanjut aktivitas sama dana terima kasih au,NON_HATE
734,235,tidak heran waktu ganjar pranowo sedang laku giat di jaka a yang kunjung cuma kantor dpw ppp kapan sepe inya belum confirm untuk jadi ganjar pranowo bagai calon presiden kalau erick thohir bukan calon wakil presiden,NON_HATE
735,236,wajar kalau hasto kata sepe i itu karena mana mana yang usung itu calon presiden bukan calon wakil presiden kalau syarat kapan untuk dukung ganjar pranowo bagai calon presiden dengan calon wakil presiden erick thohir ya mending laut saja,NON_HATE
736,237,hidup anies baswedan zon moga saja 2024 nanti anies bisa kalah prabowo dan ganjar jadi presiden,HATE
737,238,tindak keluarga monggot pak ganjar desa ngasem 08 buat sumur pak biar maro tidak ksulitan air,HATE
738,239,majelis zikir di banten deklarasi dukung untuk ganjar pranowo,HATE
739,240,kalau untuk penting rakyat nama tugas rakyat ganjar pranowo dapat ingat keras dari megawati awas kalau kamu enggak bicara tugas pak ai,NON_HATE
740,241,woi mas ganjar jangan asyiiik sibuk kampanye bagi bagi duit amp sembako tinggal tugas terus asyik joget2 tiktok saja itu urus kantor dewan pimpin cabang partai demokrasi indonesia juang cirebon itu segel milik sudah berapa tahun tidak bayar malu malu saja,NON_HATE
741,242,erickthohirnews kapan tunjuk erick thohir jadi calon wakil presiden ganjar pranowo begini kata partai demokrasi indonesia juang bangkitbersamaet,HATE
742,243,kamu sudah tidak hak atas waris bapak karena semua aset di rumah ini sudah alih atas nama gumam sih meng dalam hati,NON_HATE
743,244,lo kok kamu masih bersih meng ayo sana ikut main lumpur sama bapak,HATE
744,245,alas yaitu 1 karena anak presiden wali kota solo 2 wali kota kota ikut dukung dia makanya jadi ketua pssi 3 sekali promosi ganjar buat jadi calon gubernur jawa tengah atau jaka a 4 ada sudah balik bakwan,NON_HATE
745,246,sekarang paham kenapa ganjar tolak israel,HATE
746,247,rakyat tidak panik apalagi kadrun ada 87 persen dari jumlah duduk indonesia yang panik itu adalah ganjar karena takut dua tidak harmonis lalu pisah kuat pak ai dan kuat perintah untuk dukung diri sendiri paham,NON_HATE
747,248,mari kita dukung ganjar calon presiden 2024 kita merah kota cirebon,NON_HATE
748,249,pimpin yang humble banget pak ganjar ini,NON_HATE
749,250,tapi tetap saja banyak yang nyinyir bu megawati bukan lihat bagaimana besar hati bu megawati pilih ganjar dan tidak paksa anak,HATE
750,251,kalau di tanyak pilih siapa,NON_HATE
751,252,tukang survei sekaligus sales ganjar haha,NON_HATE
752,253,suara ekofeminisme rawan srikandi ganjar bikin gera tanam pohon di cianjur,HATE
753,254,tidak usah serang yang lain weh fokus di pak ganjar saja biar yang tidak resmi saja bagi counter,NON_HATE
754,255,momen ganjar dan erick thohir terbang lampion di borobudur,HATE
755,256,gue rakyat orang cilik pilih ganjar,HATE
756,257,belum dapat sawer saja banyak mbheekkkk nya sedikit di sawer ganjar lembek leher,HATE
757,258,ganjar iya,HATE
758,259,cara karakter dari alam saya pernah ketemu pak ganjar sih tidak perlu ragu orang dan tidak beda beda orang juga,NON_HATE
759,260,bagai dukung justru malah bikin malu pak akun akun sepe i ini yang bikin blunder pak ganjar,NON_HATE
760,261,yakin dulu ah,NON_HATE
761,262,kecut selalu buat opini belum ada putus,NON_HATE
762,263,istirahat news ganjar pranowo hadir acara konsolidasi partai demokrasi indonesia juang daerah khusus ibukota jaka a youtube,HATE
763,264,bang ali apakah mungkin jokowi rekan amp fam dengan pikul beban amat sangat sangat berat di pundak serah begitu saja kekuasaanya meski pada prabowo atau ganjar apa jamin nya jokowi rekan amp fam aman filosofi guru kencing diri murid kencing lari masih laku kan,HATE
764,265,momen ganjar dapat gelar khusus dari laskar agung macan ali cirebon,NON_HATE
765,266,oh jadi ganjar itu cuma boneka though harus ikut katut apa kata mega begitu kasihan ganjar cuma tugas kayak kacung tunggu perintah bos itu megawati yang atur indonesia nanti ya wkwk,HATE
766,267,kolaborasi apik bareng duta genre kalimantan timur dalam agenda cegah stunting sama semangat abdi bangun negeri,NON_HATE
767,268,otak otak pikir taekkkk,HATE
768,269,waisak borobudur 4 juni 2023 asli saya datang kesini dan itu keren banget para bhikkhu nya juga baik baik di yoyakarta magelang para walubi nya juga amp tim keren banget sat set pas di acara waisak nya info pak presiden jokowi sama pak ganjar pranowo datang tetapi tidak lihat,NON_HATE
769,270,andai saja bapak gue ganjar pranowo,HATE
770,271,luar biasa memang para rawan dukung pak ganjar ini untuk itu mari kita sukses pilih presiden 2024 sama pak ganjar,HATE
771,272,jokowi boleh kalah tapi rakyt akan juang bela benar nya jokowi peduli rakyat lanjut kerja mu pak jokowi siapa yang anda tunjuk terus kan progrm kamu untuk maju bangsa kami akan pilih nya dan terima maju rakyat di papua dengan pembngunn dan didik,NON_HATE
772,273,lihat manuver dan gera prabowo subianto usai partai demokrasi indonesia juang usung ganjar jadi calon presiden 2024 temu jokowi hingga airlangga,HATE
773,274,rawan incar suara anak muda jabar cuma ganjar yang cocok jadi presiden toleran,HATE
774,275,salut banget lihat antusias para rawan dukung pak ganjar suskes terus pak,NON_HATE
775,276,rawan jokowi dukung pak ganjar agak lain memang,HATE
776,277,ganjar sambut datang bhikku thudong mudah mudah ini cermin ramah indonesia hadap siapa,HATE
777,278,turut baik pak ganjar tahan dulu nafsu keliling2 indonesia nya soal beliau masih jabat gubernur jawa tengah toh sudah banyak kenal juga kesan kalau kayak begini lari dari wajib kerja bagai kepala daerah keliling area jawa tengah dulu saja,NON_HATE
778,279,gibran saya dukung yang pasti menang yaitu ganjar pranowo,HATE
779,280,jokowi lepas ganjar loncat dukung penuh prabowo,HATE
780,281,sukses pilih presiden 2024 sama pak ganjar,HATE
781,282,gue yaakin iini bukan pak ganjar orang nya tapi tim nya,NON_HATE
782,283,ayo kita gotong royong untuk menang pak ganjar dalam pilih presiden 2024,NON_HATE
783,284,serap aspirasi milenias rawan kenal sosok ganjar di bandung,NON_HATE
784,285,luar biasa power ganjar,NON_HATE
785,286,rawan jokowi kumpul di senayan dukung ganjar,HATE
786,287,calon presiden 2024 ulama dan santri dukung ganjar,NON_HATE
787,288,di depan ganjar rawan jokowi deklarasi dukung untuk pilprea,HATE
788,289,rawan antusias sambut resmi rumah aspirasi ganjar,HATE
789,290,serentak jumlah lembaga survei hias prabowo erik geli banget lihat pindah nya yang mula all ganjar sekarang tinggal smrc yang lihat masih ganjar gila nya tetap sama framing anies kandas di putar pe sama padahal anies anteng2 saja,NON_HATE
790,291,kareba ada rusuh tidak terima hasil pilih umum ya ujung ujung nya deal politik biar tidak rusuh kalau cara kualitas prabowo memang bagus dari periode pe sama sudah ajak gabung itu logika,HATE
791,292,golkar dan kapan masih punya daya tawar kalau tidak ke ganjar ya ke prabowo,HATE
792,293,kapan dan golkar kabar adu cepat rapat ke partai demokrasi indonesia juang ganjar sanding airlangga atau erick thohir,HATE
793,294,hasto pantun sindir calon pimpin lain yang iri sama ganjar dan jokowi,HATE
794,295,ruth sahanaya kau segala pak ganjar,HATE
795,296,kapan minum kopi ke jambi pak ganjar,NON_HATE
796,297,semangat kepada para rawan dan seluruh jejer yang bantu pak ganjar,NON_HATE
797,298,ada banyak dukung jokowi yang kecewa prabowo masuk kabinet toh telah jadi menhan tidak bisa kerja juga,HATE
798,299,mantap pak ganjar maju terus kami dukung,NON_HATE
799,300,yaitu jawa tengah tengah rusak dari dalam agar ganjar lihat jelek mata umum karena warga buat ricuh main siapa lagi bukankah banyak dari m3eka yang guna demokrasi untuk dapat enak p mereka asal bicara contoh yang punya nadar yoyakarta jaka a,NON_HATE
800,301,iya saja lihat twit ganjar lumat sama anis grup,HATE
801,302,semua muka agama benar penting untuk bangun bangsa dan pak ganjar hasil dekat dengan semua umat agama mana,NON_HATE
802,303,ganjar pranowo sapa ribu karyawan industri hasil tembakau bojonegoro via videotron,HATE
803,304,bapak ganjar lebih baik urus daerah bapak dulu jawa tengah ini miskin ampun ampun pak,NON_HATE
804,305,mari kita satu dukung pak ganjar,NON_HATE
805,306,rencana ganjar nanggab dangdud di sidoarjo,NON_HATE
806,307,mari semua umat agama kita satu dukung pak ganjar,HATE
807,308,jokowi ingin pilih umum 2024 ini untuk dua calon presiden saja untuk ganjar amp prabowo saja maka jika anies lolos calon presiden dan bisa menang raih kursi ri 1 jokowi bisa stres berat,HATE
808,309,ganjar sendiri aku bagai gubernur gagal,NON_HATE
809,310,asalammualaikum pak ganjar saya dari plosok pekan baru riau dukung pak gajar pranowo,HATE
810,311,saya pilih orang yang punya narasi gagas yang jelas yaitu pak ganjar bukan orang yang suka otak atik kata hingga lebih bayar,HATE
811,312,orang muda ganjar baik jalan bareng masyarakat desa karang sari,NON_HATE
812,313,ya tidak bakal menang lah anies orang rival prabowo dan ganjar kalau misal calon presiden dua saja antara anies dan prabowo sudah pasti menang prabowo di atas angin apa lagi kalau tambah ganjar lebih anjlok lagi suara anies,HATE
813,314,sehat terus pak ganjar,NON_HATE
814,315,kami indonesia timur sudah jadi garda depan untuk dukung pak ganjar sehingga bisa lanjut program pak jokowi dan saya hanya bapak yang bisa percaya untuk lanjut program yang sudah jalan moga bapak mudah dalam segala urus hingga pilih presiden jalan lancar,NON_HATE
815,316,ayo buzzerrp ganjar ganti target bully dan fitnah,HATE
816,317,adi di tanya sebut 1 prestasi ganjar tidak bisa harus adi jawab lari dong,NON_HATE
817,318,ganjar contoh proses kreatif kepada generasi z dan milenial di jaka a,NON_HATE
818,319,sebut saja jnenge ganjar sang putih,HATE
819,320,moga moga yang maju dua pasang calon calon presiden saja antara prabowo lawan pak ganjar amin,HATE
